('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q61', 'D.C.', 'DISTRICT')	Pred: ('Q1062234', 'Л.Ш.')
('Q76', 'Обамой', 'PERSON')	Pred: ('Q4513260', 'Чермой')
('Q14212', 'Премьер-министр', 'PROFESSION')	Pred: ('Q14212', 'Премьер-министр')
('Q7747', 'Путин', 'PERSON')	Pred: ('Q7747', 'Путин')
('Q13371', 'Гарвардского университета', 'ORGANIZATION')	Pred: ('Q13371', 'Гарвардский университет')
('Q47166', 'Орска', 'CITY')	Pred: ('Q145421', 'Орлон')
('Q250742', 'Даммартен-ан-Гоэля', 'CITY')	Pred: ('Q645444', 'Шампо-ан-Морван')
('Q193092', 'тутси', 'NATIONALITY')	Pred: ('Q4456288', 'Терси')
('Q29', 'Испанию', 'COUNTRY')	Pred: ('Q6088', 'Александрия')
('Q314339', 'Феодора Ушакова', 'PERSON')	Pred: ('Q16710851', 'Юлия Ушакова')
('Q1468648', 'Джорджтаунский', 'CITY')	Pred: ('Q4160483', 'Джорджтаунский эксперимент')
('Q209937', 'Венскую государственную оперу', 'ORGANIZATION')	Pred: ('Q36833', 'Венгерская государственная опера')
('Q443868', 'Юн Фоссе', 'PERSON')	Pred: ('Q443868', 'Юн Фоссе')
('Q4067419', 'Марией', 'PERSON')	Pred: ('Q957888', 'Марилия')
('Q60', 'нью-йоркскую', 'CITY')	Pred: ('Q335017', 'Ньюпорт-Ньюс')
('Q2626768', 'Анастасия Заворотнюк', 'PERSON')	Pred: ('Q2626768', 'Анастасия Заворотнюк')
('Q157696', 'сержант', 'PROFESSION')	Pred: ('Q4459199', 'Товарищ сержант')
('Q2280', 'Минске', 'CITY')	Pred: ('Q56158', 'Бизе')
('Q30', 'Америку', 'COUNTRY')	Pred: ('Q540219', 'Америку')
('Q1501926', 'генпрокурор', 'PROFESSION')	Pred: ('Q4135367', 'Генпрокурор СССР')
('Q462', 'Звёздные войны', 'WORK_OF_ART')	Pred: ('Q211031', 'Звёздные войны')
('Q4302553', 'Мордовского республиканского объединенного краеведческого музея имени И.\xa0Д.\xa0Воронина', 'ORGANIZATION')	Pred: ('Q4309178', 'Мценский городской краеведческий музей имени Г. Ф. Соловьева')
('Q391517', 'Robert Henry Lawrence Jr', 'PERSON')	Pred: ('Q1341647', 'Джеймс Роберт')
('Q1176307', 'Ремнику', 'PERSON')	Pred: ('Q256103', 'Ремнику')
('Q99', 'Калифорнийского', 'STATE_OR_PROVINCE')	Pred: ('Q1405086', 'Калифорнийская')
('Q1190255', 'Родина', 'ORGANIZATION')	Pred: ('Q23594', 'Родина')
('Q155223', 'НБА', 'ORGANIZATION')	Pred: ('Q155223', 'НБА')
('Q20577281', 'Терминал 21', 'FACILITY')	Pred: ('Q618114', 'Клуб 21')
('Q4239366', 'Юрия Красного', 'PERSON')	Pred: ('Q4239366', 'Красный Юрий')
('Q189290', 'офицером', 'PROFESSION')	Pred: ('Q4291227', 'Меры')
('Q9960', 'Рональда Рейгана', 'PERSON')	Pred: ('Q969981', 'Ронельда Камфер')
('Q25369', 'Кобе', 'PERSON')	Pred: ('Q48320', 'Кобе')
('Q2235', 'Новгородского', 'CITY')	Pred: ('Q4322524', 'Новгородское')
('Q159', 'российского', 'COUNTRY')	Pred: ('Q4315242', 'Наши')
('Q217463', 'Курск', 'PRODUCT')	Pred: ('Q217463', 'Курск')
('Q484876', 'директора', 'PROFESSION')	Pred: ('Q4113523', 'Каранки')
('Q35657', 'Соединённых Штатах', 'COUNTRY')	Pred: ('Q258664', 'Соединённые Штаты Европы')
('Q90', 'Париж', 'CITY')	Pred: ('Q90', 'Париж')
('Q197582', 'Химкинским', 'CITY')	Pred: ('Q19618022', 'Кирзинское')
('Q179191', 'Зала славы рок-н-ролла', 'ORGANIZATION')	Pred: ('Q179191', 'Зал славы рок-н-ролла')
('Q181386', 'востоке Украины', 'LOCATION')	Pred: ('Q16335075', 'Конфликт на востоке Украины')
('Q2027057', '2-й гвардейской армии', 'ORGANIZATION')	Pred: ('Q4471091', 'Улица 6-й Гвардейской дивизии')
('Q618537', 'Aphrodite’s Child', 'ORGANIZATION')	Pred: ('Q121647', 'Пол Пирс')
('Q56326903', 'российского представительства', 'ORGANIZATION')	Pred: ('Q4374043', 'Посольство России в Китае')
('Q176475', 'Даммартен', 'STATE_OR_PROVINCE')	Pred: ('Q1461117', 'Даммартен')
('Q30', 'Америки', 'COUNTRY')	Pred: ('Q459090', 'Америка')
('Q116', 'Король', 'PROFESSION')	Pred: ('Q138', 'Король')
('Q177220', 'певица', 'PROFESSION')	Pred: ('Q1707627', 'Чивак')
('Q1518827', 'Европейский суд', 'ORGANIZATION')	Pred: ('Q1518827', 'Европейский суд')
('Q100906723', 'Глава Samsung', 'PROFESSION')	Pred: ('Q3648838', 'Пока')
('Q168751', 'Университете Дьюка', 'ORGANIZATION')	Pred: ('Q168751', 'Университет Дьюка')
('Q1213293', 'Рукопись, найденная в Сарагосе', 'WORK_OF_ART')	Pred: ('Q4423265', 'Следствие ведут знатоки. Любой ценой')
('Q133396', 'Кнессета', 'ORGANIZATION')	Pred: ('Q152678', 'Ксанта')
('Q30238459', 'Юрий Царёв', 'PERSON')	Pred: ('Q4252832', 'Лазарёв Юрий')
('Q1431229', 'Донецкий аэропорт', 'FACILITY')	Pred: ('Q1431229', 'Донецкий аэропорт')
('Q184566', 'Чарлз Таунс', 'PERSON')	Pred: ('Q184566', 'Чарлз Таунс')
('Q3299316', 'Матросская тишина', 'ORGANIZATION')	Pred: ('Q3299316', 'Матросская тишина')
('Q19520', 'Подольска', 'CITY')	Pred: ('Q12558857', 'Подольцев')
('Q1943269', 'мокшанской', 'NATIONALITY')	Pred: ('Q4079843', 'Бахметевы')
('Q2145277', 'Палаты представителей', 'ORGANIZATION')	Pred: ('Q4410005', 'Сваты 4')
('Q239', 'Брюсселе', 'CITY')	Pred: ('Q4097460', 'Брюссель 1986')
('Q1546040', 'Космическое зеркало', 'FACILITY')	Pred: ('Q4169', 'Космическое пространство')
('Q1633149', 'советские', 'NATIONALITY')	Pred: ('Q1633149', 'Советские люди')
('Q43399', 'Андрея Первозванного', 'PERSON')	Pred: ('Q4491648', 'Фонд Андрея Первозванного')
('Q656', 'Петербурге', 'CITY')	Pred: ('Q80027', 'Петербург')
('Q2042', 'Шарля де Голля', 'PERSON')	Pred: ('Q2404425', 'Колле Шарль')
('Q105101725', 'Хаос. Сотворение мира', 'WORK_OF_ART')	Pred: ('Q2778768', 'Хаос. Создание новой науки')
('Q483501', 'артистом', 'PROFESSION')	Pred: ('Q471447', 'Флорет')
('Q465285', 'Герман Греф', 'PERSON')	Pred: ('Q465285', 'Герман Греф')
('Q842438', 'британским', 'NATIONALITY')	Pred: ('Q1804858', 'Вашим')
('Q2657659', 'Романов', 'PERSON')	Pred: ('Q196724', 'Романов')
('Q217096', 'Нарухито', 'PERSON')	Pred: ('Q217096', 'Нарухито')
('Q830515', 'Télam', 'ORGANIZATION')	Pred: ('Q4449516', 'Тагай')
('Q4146331', 'Горячий снег', 'WORK_OF_ART')	Pred: ('Q4146327', 'Горячий снег')
('Q1081714', 'Владимиру', 'PERSON')	Pred: ('Q12090461', 'Владимировка')
('Q36834', 'композитора', 'PROFESSION')	Pred: ('Q16647094', 'Душа поэта')
('Q4466663', 'Хасана Туфана', 'PERSON')	Pred: ('Q5676373', 'Хасан Туфаниан')
('Q29552', 'Демократической партии', 'ORGANIZATION')	Pred: ('Q47729', 'Демократическая партия')
('Q2861548', 'Аркадий Арканов', 'PERSON')	Pred: ('Q2861548', 'Аркадий Арканов')
('Q5187', 'Чечне', 'STATE_OR_PROVINCE')	Pred: ('Q1149600', 'Чеслав')
('Q42909', 'репортёров', 'PROFESSION')	Pred: ('Q4393492', 'Репортёр')
('Q6501749', 'генсек', 'PROFESSION')	Pred: ('Q1048744', 'Генсек')
('Q295537', 'Эдуард Лимонов', 'PERSON')	Pred: ('Q295537', 'Эдуард Лимонов')
('Q4098713', 'Булакин', 'PERSON')	Pred: ('Q4098713', 'Булакин')
('Q1320883', 'менеджер музыканта', 'PROFESSION')	Pred: ('Q1320883', 'Музыкальный менеджер')
('Q17298', 'Арлекин', 'PERSON')	Pred: ('Q4334720', 'Арлекин')
('Q17302', 'Коломбины', 'PERSON')	Pred: ('Q42797', 'Ламантины')
('Q865949', 'Биране', 'CITY')	Pred: ('Q734411', 'Брис')
('Q49108', 'Массачусетского технологического института', 'ORGANIZATION')	Pred: ('Q49108', 'Массачусетсский технологический институт')
('Q4262660', 'Юлия Липницкая', 'PERSON')	Pred: ('Q4262660', 'Юлия Липницкая')
('Q379318', 'пилота-инструктора', 'PROFESSION')	Pred: ('Q379318', 'Пилот-инструктор')
('Q83552', 'Александром Прохоровым', 'PERSON')	Pred: ('Q24010790', 'Александр Лисов')
('Q170036', 'Киевской области', 'STATE_OR_PROVINCE')	Pred: ('Q4220161', 'Киевская область')
('Q47170', 'премии Государственного банка Швеции памяти Альфреда Нобеля', 'AWARD')	Pred: ('Q47170', 'Премия по экономике памяти Альфреда Нобеля')
('Q1499053', 'Петербургская Духовная академия', 'ORGANIZATION')	Pred: ('Q1499053', 'Петербургская духовная академия')
('Q43723', 'Нетаньяху', 'PERSON')	Pred: ('Q123659', 'Нетаньяху')
('Q7220288', 'Пятого канала', 'ORGANIZATION')	Pred: ('Q330067', 'Первый канал')
('Q1348', 'Калькуттской', 'CITY')	Pred: ('Q4210510', 'Калькуттская группа')
('Q42178', 'вице-президента', 'PROFESSION')	Pred: ('Q2897193', 'Вице-президент РФ')
('Q28605684', 'Whereʼs the Revolution', 'WORK_OF_ART')	Pred: ('Q19799143', 'Была война')
('Q87410555', 'Telegram-канале', 'PRODUCT')	Pred: ('Q287198', 'Интернет-чат')
('Q4213035', 'Сергеем Капковым', 'PERSON')	Pred: ('Q4220302', 'Александр Кизеветтер')
('Q3785077', 'Рыйвасу', 'PERSON')	Pred: ('Q3785077', 'Рыйвас')
('Q2743544', 'Эрин Эндрюс', 'PERSON')	Pred: ('Q2743544', 'Эрин Эндрюс')
('Q4104112', 'Варшавском шоссе', 'FACILITY')	Pred: ('Q4104112', 'Варшавское шоссе')
('Q5482740', 'программистом', 'PROFESSION')	Pred: ('Q5482740', 'Программист')
('Q1295', 'дортмундская', 'CITY')	Pred: ('Q7097864', 'Дортмундская опера')
('Q615', 'Лионель Месси', 'PERSON')	Pred: ('Q615', 'Лионель Месси')
('Q11459', 'Серены Уильямс', 'PERSON')	Pred: ('Q11459', 'Серена Уильямс')
('Q32620', 'Тулси Габбард', 'PERSON')	Pred: ('Q32620', 'Тулси Габбард')
('Q471443', 'Ильи Ильфа', 'PERSON')	Pred: ('Q13928', 'Гальифа')
('Q33923', 'Святого Петра', 'PERSON')	Pred: ('Q2322596', 'Храм Святого Петра')
('Q2976603', 'классик', 'PROFESSION')	Pred: ('Q60850238', 'Мой класс')
('Q483501', 'Артист', 'PROFESSION')	Pred: ('Q4070297', 'Артист')
('Q166', 'Черного моря', 'LOCATION')	Pred: ('Q4468237', 'У Черного моря')
('Q151796', 'Ливни', 'PERSON')	Pred: ('Q1907159', 'Личина')
('Q487882', 'Руссоса', 'PERSON')	Pred: ('Q1636146', 'Сарсоса')
('Q4498856', 'Хождение по мукам', 'WORK_OF_ART')	Pred: ('Q4498856', 'Хождение по мукам')
('Q31', 'бельгийскими', 'COUNTRY')	Pred: ('Q13437153', 'Бельгийская бельга')
('Q141212', 'аспиранта', 'PROFESSION')	Pred: ('Q4071406', 'Аспиратор')
('Q758861', 'Государственных премий СССР', 'AWARD')	Pred: ('Q758861', 'Государственные премии СССР')
('Q81066', 'глава ООН', 'PROFESSION')	Pred: ('Q939304', 'ООН')
('Q381002', 'Франсиско Флорес', 'PERSON')	Pred: ('Q381002', 'Франсиско Флорес')
('Q1318423', 'австралийский', 'NATIONALITY')	Pred: ('Q2559142', 'Австралийский референдум')
('Q218295', 'президента РФ', 'PROFESSION')	Pred: ('Q4070710', 'Архив президента РФ')
('Q165693', 'Валерий Гергиев', 'PERSON')	Pred: ('Q165693', 'Валерий Гергиев')
('Q83172', 'РАН', 'ORGANIZATION')	Pred: ('Q83172', 'РАН')
('Q4806029', 'Эштон Картер', 'PERSON')	Pred: ('Q4806029', 'Эштон Картер')
('Q765', 'Фо', 'PERSON')	Pred: ('Q3700540', 'Иначе')
('Q1649', 'Оклахома', 'STATE_OR_PROVINCE')	Pred: ('Q485038', 'Оклахома')
('Q21638478', 'главы Кемеровской области', 'PROFESSION')	Pred: ('Q4426243', 'Парламент Кемеровской области')
('Q85881430', 'Лю Фань', 'PERSON')	Pred: ('Q988552', 'Хо Фань')
('Q131248', 'Ли Куан Ю', 'PERSON')	Pred: ('Q131248', 'Ли Куан Ю')
('Q639669', 'музыканты', 'PROFESSION')	Pred: ('Q4326498', 'Новые композиторы')
('Q10906245', 'Министерства образования Испании', 'ORGANIZATION')	Pred: ('Q3302210', 'Министерство образования Португалии')
('Q4402361', 'Кузьма', 'PERSON')	Pred: ('Q25936191', 'Кузьма')
('Q15180', 'советского', 'NATIONALITY')	Pred: ('Q83834', 'Антисоветский')
('Q649', 'московском', 'CITY')	Pred: ('Q2454798', 'Московская')
('Q79854', 'КПСС', 'ORGANIZATION')	Pred: ('Q79854', 'КПСС')
('Q1188211', 'сотрудники полиции', 'PROFESSION')	Pred: ('Q60667', 'Оперативные войска')
('Q3282637', 'кинопродюсер', 'PROFESSION')	Pred: ('Q3282637', 'Кинопродюсер')
('Q7188', 'правительстве', 'ORGANIZATION')	Pred: ('Q4101055', 'Былое')
('Q219615', 'Universidad de Barcelona', 'ORGANIZATION')	Pred: ('Q4239251', 'Красноярский университет')
('Q15994170', 'Союза писателей', 'ORGANIZATION')	Pred: ('Q4053632', 'Союз писателей')
('Q1028181', 'Живописец', 'PROFESSION')	Pred: ('Q11629', 'Живописец')
('Q217189', 'Седьмая печать', 'WORK_OF_ART')	Pred: ('Q217189', 'Седьмая печать')
('Q47755', 'Кертес', 'PERSON')	Pred: ('Q21448506', 'Кертес')
('Q23548', 'НАСА', 'ORGANIZATION')	Pred: ('Q23548', 'НАСА')
('Q1483709', 'землевладельца', 'PROFESSION')	Pred: ('Q4191021', 'Землевладение')
('Q4261', 'Мишель Платини', 'PERSON')	Pred: ('Q4261', 'Мишель Платини')
('Q1059569', 'За заслуги перед Итальянской Республикой', 'AWARD')	Pred: ('Q1059569', 'За заслуги перед Итальянской Республикой')
('Q994779', 'делегатов', 'PROFESSION')	Pred: ('Q22918516', 'Былов')
('Q128736', 'Нэшу', 'PERSON')	Pred: ('Q1012336', 'Нэшуок')
('Q67619', 'Пьер Фогель', 'PERSON')	Pred: ('Q67619', 'Пьер Фогель')
('Q733786', 'монахом', 'PROFESSION')	Pred: ('Q404484', 'Пуян')
('Q104027', 'Дугласу', 'PERSON')	Pred: ('Q766907', 'Дуглас Лоу')
('Q302910', 'Нгуи Ва Тхионго', 'PERSON')	Pred: ('Q302910', 'Нгуги Ва Тхионго')
('Q11443689', 'Хироси Амано', 'PERSON')	Pred: ('Q11443689', 'Хироси Амано')
('Q600931', 'Моя прекрасная няня', 'WORK_OF_ART')	Pred: ('Q600931', 'Моя прекрасная няня')
('Q2945301', 'центре временного содержания', 'FACILITY')	Pred: ('Q686534', 'Изолятор временного содержания')
('Q37979', 'Акихито', 'PERSON')	Pred: ('Q37979', 'Акихито')
('Q495430', 'генштаба', 'ORGANIZATION')	Pred: ('Q1934911', 'Академия Генштаба')
('Q3009497', 'Вэнсом', 'PERSON')	Pred: ('Q165391', 'Вэн')
('Q19546', 'папа', 'PROFESSION')	Pred: ('Q1151355', 'План')
('Q19546', 'Папа', 'PROFESSION')	Pred: ('Q4344594', 'Папа')
('Q30547', 'Мать Тереза', 'PERSON')	Pred: ('Q30547', 'Мать Тереза')
('Q93910', 'Новокузнецка', 'CITY')	Pred: ('Q28667095', 'Экономика Новокузнецка')
('Q132783', 'Эрмитажа', 'ORGANIZATION')	Pred: ('Q377880', 'Эртинг')
('Q215419', 'Чернобыльской АЭС', 'FACILITY')	Pred: ('Q486', 'Взрыв на Чернобыльской АЭС')
('Q334', 'Сингапура', 'COUNTRY')	Pred: ('Q42679', 'Сингапура')
('Q35637', 'Нобелевскую премию мира', 'AWARD')	Pred: ('Q35637', 'Нобелевская премия мира')
('Q101081', 'Провансе', 'DISTRICT')	Pred: ('Q2897588', 'Просор')
('Q873364', 'бронзовыми медалями', 'AWARD')	Pred: ('Q16654377', 'Золотые сертификаты')
('Q43432', 'Джастин Тимберлейк', 'PERSON')	Pred: ('Q43432', 'Джастин Тимберлейк')
('Q23810', 'Нобелевской', 'PERSON')	Pred: ('Q7191', 'Нобелевская лекция')
('Q47166', 'Орске', 'CITY')	Pred: ('Q935348', 'Орса')
('Q169898', 'Феррари', 'ORGANIZATION')	Pred: ('Q169898', 'Феррари')
('Q2384139', 'института Пушкина', 'ORGANIZATION')	Pred: ('Q29565959', 'Дом культуры имени Пушкина')
('Q2157152', 'Минусинского район', 'DISTRICT')	Pred: ('Q1092435', 'Сюмсинский район')
('Q40715', 'Дженнифер Лопес', 'PERSON')	Pred: ('Q40715', 'Дженнифер Лопес')
